Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,9035,313.4585,69,29466,3.92
rMIO_2j_krc,14 March 2026,"Mar 14, 2026",28,1488,2.5382,2,269,7.06
5KHqEgcgI20,"Co się dzieje w Redmond, zostaje w Redmond... na razie #betterdevclub #podcast #agenticai #shorts","Mar 27, 2026",26,997,2.3025,3,256,8.2
VW4Rgbi3Nnc,Co wyciekło z Anthropika #claude #claudecode #opus #sonnet #betterdevclub #betterdevclub #shorts,"Apr 7, 2026",71,971,2.9549,1,317,2.84
4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,904,2.8132,1,314,5.41
TipIPKkQwow,Juniorzy w #amazon z zakazem #ai #awaria #betterdevclub #podcast #shorts #claude #spotify #anthropic,"Mar 16, 2026",51,848,0.9798,0,207,1.93
snn78zeyqns,"Better Dev Club #20 - Nasz stack AI, czyli jak kodują staff engineers","Mar 19, 2026",1716,616,72.816,16,8521,4.21
7lpnKCUJe4E,Gemini nie jest już królem AI?,"Mar 19, 2026",32,604,1.9661,0,401,5.74
oao-m6mjL0I,Better Dev Club #22 - Genialny easter egg czy wpadka DevOpsa? Kto stoi za wyciekiem Claude Code?,"Apr 2, 2026",992,344,39.3445,7,2830,6.86
AdQiVr9LNII,Anthropic Claude przegrywa z Pentagonem,"Apr 10, 2026",88,304,1.6309,1,139,10.07
JEtqTZ9QsEo,Better Dev Club #21 - Cyberbezpieczeństwo w czasach AI z Wojciechem Lesickim,"Mar 26, 2026",3489,301,73.7837,2,3754,3.73
4nkyeDBHd3U,Współpraca inżynierów w branży #ai #claudecode #copilot #githubcopilot #codex #gemini #shorts,"Apr 4, 2026",51,246,0.6852,0,265,4.15
PU6-OVQIEdI,Wyciek kodu #anthropic - co to oznacza? #claude #claudecode #ai #agenticai #betterdevclub #shorts,"Apr 3, 2026",63,246,1.4684,0,289,3.11
Wt1LuB56tx0,"Better Dev Club #19 - Amazon płonie przez AI, Spotify koduje ze Slacka, a Claude robi PR za 25$/szt","Mar 12, 2026",1579,242,37.5654,7,4742,2.17
09RJNWE4nEI,"Better Dev Club #23 - Dev, PO, Scrum Master: Jak AI zmienia role i kończy »głuchy telefon«","Apr 9, 2026",1305,240,32.5479,1,1840,6.9
qxw95TLsWYE,Testowanie na produkcji -zło konieczne #softwaredevelopment #betterdevclub #podcast #claude #shorts,"Mar 15, 2026",50,227,0.4687,1,213,2.35
CWCQCnx4jw8,Podcast już jutro #betterdevclub #anthropic #it #developer,"Apr 8, 2026",28,192,0.4099,0,303,7.26
tuFBcbrBFCU,"Better Dev Club #17 - Droga Tomasza Ducina: teatr, kodzik i AI","Feb 26, 2026",3372,57,15.2731,1,872,2.06
FnW4W_WPjmc,BDC #18 - Trump banuje Claude? Akcje IBM spadają. Czy geopolityka zabierze nam narzędzia?,"Mar 5, 2026",1098,42,5.7353,0,854,1.52
yJEpy2gM4AM,Better Dev Club Weekly #1,"Nov 6, 2025",902,22,1.3933,1,209,4.31
l7E73GUI0wE,Better Dev Club #11 - Drama w Tailwindzie i upadek Stack Overflow,"Jan 15, 2026",1207,21,1.8013,0,443,1.58
1awvN_ePgmE,Sceptycyzm wobec #ai w #codereview #anthropic #claude #claudecode #betterdevclub #podcast #shorts,"Mar 13, 2026",30,17,0.0536,0,81,2.47
9BmowwsNbz0,Better Dev Club Weekly #6 - .NET 10,"Dec 11, 2025",1658,11,1.5954,0,106,2.83
lynrN0dMOLY,Better Dev Club #15 - Skills.md w AI: Hype czy Game Changer?,"Feb 12, 2026",1212,10,1.7305,0,209,3.83
4rimdlDQjas,"Better Dev Club #9 - Benchmarki AI, czyli wydajność vs. cena","Jan 1, 2026",1223,8,1.3676,0,113,0.88
Upx7VcqXH-M,[DDDDays] KAMIL DZIENISZEWSKI Release na proda z punktu widzenia frontend,"Oct 22, 2024",2431,7,0.5317,0,11,9.09
1gDzn-SHxSw,Better Dev Club #14 - Clawdbot - Moltbot - OpenClaw?,"Feb 5, 2026",1367,7,1.5643,0,170,0.59
q4-GS8cfLiE,#ai #hype vs rzeczywistość - co stoi za ruchami #block #betterdevclub #podcast #shorts #podcast,"Mar 8, 2026",47,7,0.046,0,44,4.55
